city;country;admin_name
Uluberiya;India;West Bengal
Puducherry;India;Puducherry
Porbandar;India;Gujarāt
Vizianagaram;India;Andhra Pradesh
Pāli;India;Rājasthān
Nadiād;India;Gujarāt
Nāgercoil;India;Tamil Nādu
Karnāl;India;Haryāna
Puri;India;Odisha
Tanjore;India;Tamil Nādu
Secunderābād;India;Telangana
Sambhal;India;Uttar Pradesh
Shiliguri;India;West Bengal
Naihāti;India;West Bengal
Shimla;India;Himāchal Pradesh
Kharagpur;India;West Bengal
Dindigul;India;Tamil Nādu
Ingrāj Bāzār;India;West Bengal
Ongole;India;Andhra Pradesh
Ellore;India;Andhra Pradesh
Haldia;India;West Bengal
Gurgaon;India;Haryāna
Bulandshahr;India;Uttar Pradesh
Baharampur;India;West Bengal
Chakradharpur;India;Jharkhand
Madhyamgram;India;West Bengal
Burhānpur;India;Madhya Pradesh
Khammam;India;Telangana
Bhiwāni;India;Haryāna
Ghāndīnagar;India;Gujarāt
Hugli;India;West Bengal
Mahbūbnagar;India;Telangana
Nandyāl;India;Andhra Pradesh
Rāiganj;India;West Bengal
Bārākpur;India;West Bengal
Mahesāna;India;Gujarāt
Batāla;India;Punjab
Bhusāval;India;Mahārāshtra
Bahraigh;India;Uttar Pradesh
Tonk;India;Rājasthān
Sirsa;India;Haryāna
Jaunpur;India;Uttar Pradesh
Dam Dam;India;West Bengal
Madanapalle;India;Andhra Pradesh
Alleppey;India;Kerala
Vellore;India;Tamil Nādu
Titāgarh;India;West Bengal
Chandannagar;India;West Bengal
Cuddalore;India;Tamil Nādu
Chīrāla;India;Andhra Pradesh
Deo;India;Bihār
Bīdar;India;Karnātaka
Machilīpatnam;India;Andhra Pradesh
Medinīpur;India;West Bengal
Bāramūla;India;Jammu and Kashmīr
Fatehpur;India;Uttar Pradesh
Tenāli;India;Andhra Pradesh
Udipi;India;Karnātaka
Sitalpur;India;Uttar Pradesh
Conjeeveram;India;Tamil Nādu
Proddatūr;India;Andhra Pradesh
Navsāri;India;Gujarāt
Godhra;India;Gujarāt
Budaun;India;Uttar Pradesh
Chittoor;India;Andhra Pradesh
Krishnanagar;India;West Bengal
Bharūch;India;Gujarāt
Saharsa;India;Bihār
Harīpur;India;Punjab
Pathānkot;India;Punjab
Vidisha;India;Madhya Pradesh
Nalgonda;India;Telangana
Bālurghāt;India;West Bengal
Dibrugarh;India;Assam
Verāval;India;Gujarāt
Fyzābād;India;Uttar Pradesh
Silchar;India;Assam
Shāntipur;India;West Bengal
Hindupur;India;Andhra Pradesh
Erode;India;Tamil Nādu
Beāwar;India;Rājasthān
Mauli;India;Punjab
Hābra;India;West Bengal
Ambāla;India;Haryāna
Etah;India;Uttar Pradesh
Shillong;India;Meghālaya
Kolār;India;Karnātaka
Bhīmavaram;India;Andhra Pradesh
Mandsaur;India;Madhya Pradesh
Kumbakonam;India;Tamil Nādu
Chicacole;India;Andhra Pradesh
Tiruvannāmalai;India;Tamil Nādu
Mandya;India;Karnātaka
Bānkura;India;West Bengal
Gondiā;India;Mahārāshtra
Hassan;India;Karnātaka
Pīlibhīt;India;Uttar Pradesh
Pālghāt;India;Kerala
Pālakollu;India;Andhra Pradesh
Abohar;India;Punjab
Kānchrāpāra;India;West Bengal
Hanumāngarh;India;Rājasthān
Hāthras;India;Uttar Pradesh
Basīrhat;India;West Bengal
Navadwīp;India;West Bengal
Guntakal;India;Andhra Pradesh
Hālīsahar;India;West Bengal
Rishra;India;West Bengal
Baidyabāti;India;West Bengal
Dharmavaram;India;Andhra Pradesh
Ghazīpur;India;Uttar Pradesh
Puruliya;India;West Bengal
Darjeeling;India;West Bengal
Gudivāda;India;Andhra Pradesh
Sopur;India;Jammu and Kashmīr
Adilābād;India;Telangana
Narasaraopet;India;Andhra Pradesh
Yavatmāl;India;Mahārāshtra
Chittaurgarh;India;Rājasthān
Bānsbāria;India;West Bengal
Siddipet;India;Telangana
Vālpārai;India;Tamil Nādu
Osmānābād;India;Mahārāshtra
Champdani;India;West Bengal
Khardah;India;West Bengal
Bangaon;India;West Bengal
Tādpatri;India;Andhra Pradesh
Islāmābād;India;Jammu and Kashmīr
Jalpāiguri;India;West Bengal
Suriāpet;India;Telangana
Tādepallegūdem;India;Andhra Pradesh
Kalyani;India;West Bengal
Negapatam;India;Tamil Nādu
Būndi;India;Rājasthān
Bhadreswar;India;West Bengal
Chilakalūrupet;India;Andhra Pradesh
Port Blair;India;Andaman and Nicobar Islands
Gangtok;India;Sikkim
Dhuliān;India;West Bengal
Kohīma;India;Nāgāland
Marmagao;India;Goa
Jangipur;India;West Bengal
Baj Baj;India;West Bengal
Tanuku;India;Andhra Pradesh
Siuri;India;West Bengal
Tamlūk;India;West Bengal
Bankra;India;West Bengal
Nagari;India;Andhra Pradesh
Chakapara;India;West Bengal
Itānagar;India;Arunāchal Pradesh
Mūndka;India;Delhi
Bāruipur;India;West Bengal
Mandapeta;India;Andhra Pradesh
Bhīmunipatnam;India;Andhra Pradesh
Pithāpuram;India;Andhra Pradesh
Amalāpuram;India;Andhra Pradesh
Bodupāl;India;Telangana
Gobārdānga;India;West Bengal
Diamond Harbour;India;West Bengal
Damān;India;Damān and Diu
Amudālavalasa;India;Andhra Pradesh
Kānkuria;India;West Bengal
Pujali;India;West Bengal
Chittaranjan;India;West Bengal
Panaji;India;Goa
Kaippakanchēri;India;Kerala
Sānkrāil;India;West Bengal
Elesvaram;India;Andhra Pradesh
Tarakeswar;India;West Bengal
Nibria;India;West Bengal
Kuli;India;West Bengal
Beldānga;India;West Bengal
Saranga;India;West Bengal
Jaynagar-Majilpur;India;West Bengal
Pānchla;India;West Bengal
Māmidālapādu;India;Andhra Pradesh
Jālhalli;India;Karnātaka
Poranki;India;Andhra Pradesh
Sundararaopeta;India;Andhra Pradesh
Bāuria;India;West Bengal
Dumjor;India;West Bengal
Mahiari;India;West Bengal
Mayahaura;India;West Bengal
Dispur;India;Assam
Mālancha;India;West Bengal
Raghudebbati;India;West Bengal
Nahāzāri;India;West Bengal
Giria;India;West Bengal
Baharu;India;West Bengal
Jagdispur;India;West Bengal
Ramnagar;India;West Bengal
Jaypul;India;West Bengal
Dogāchi;India;West Bengal
Janāi;India;West Bengal
Bāhāgalpur;India;West Bengal
Muragācha;India;West Bengal
Chandi;India;West Bengal
Saktipur;India;West Bengal
Bhabānipur;India;West Bengal
Bandlagūda;India;Telangana
Begampur;India;West Bengal
Amtala;India;West Bengal
Velivennu;India;Andhra Pradesh
Begampur;India;West Bengal
Kalinagar;India;West Bengal
Natshal;India;West Bengal
Chaital;India;West Bengal
Dhāmua;India;West Bengal
Multi;India;West Bengal
Chāndpur;India;West Bengal
Sāhāpur;India;West Bengal
Amgachia;India;West Bengal
Laskarpar;India;West Bengal
Nimpot;India;West Bengal
Hārua;India;West Bengal
Nāzira;India;West Bengal
Krishnapur;India;West Bengal
Nalpur;India;West Bengal
Mahadipur;India;West Bengal
Iarpur;India;West Bengal
Raspunji;India;West Bengal
Nijgaon Parānpur;India;West Bengal
Ballālpur;India;West Bengal
Kavaratti;India;Lakshadweep
Pātra;India;West Bengal
Chāndnidaha;India;West Bengal
Nabagrām;India;West Bengal
Hilora;India;West Bengal
Imamnagar;India;West Bengal
Serpur;India;West Bengal
Dīgnagar;India;West Bengal
Palta;India;West Bengal
Beonta;India;West Bengal
Andharmanik;India;West Bengal
Balbalpāra;India;West Bengal
Bhandārdaha;India;West Bengal
Jājigrām;India;West Bengal
Alipur;India;West Bengal
Burul;India;West Bengal
Purbba Ramnagar;India;West Bengal
Bansabāti;India;West Bengal
Bodāi;India;West Bengal
Uttarbhag;India;West Bengal
Gācha;India;West Bengal
Gotra;India;West Bengal
Bāmanpukur;India;West Bengal
Padmarhā;India;West Bengal
Ramkrishnapur;India;West Bengal
Iswaripur;India;West Bengal
Nadābhānga;India;West Bengal
Bishnupur;India;West Bengal
Bhāsa;India;West Bengal
Bodra;India;West Bengal
Tinsukia;India;Assam
Khambhāt;India;Gujarāt
Aurangābād;India;Bihār
Chākdaha;India;West Bengal
Contai;India;West Bengal
Rāyachoti;India;Andhra Pradesh
Kāvali;India;Andhra Pradesh
Mancherāl;India;Telangana
Kairāna;India;Uttar Pradesh
Kadiri;India;Andhra Pradesh
Madgaon;India;Goa
Ootacamund;India;Tamil Nādu
Farīdkot;India;Punjab
Anakāpalle;India;Andhra Pradesh
Garulia;India;West Bengal
Sirsilla;India;Telangana
Kātoya;India;West Bengal
Kāmāreddipet;India;Telangana
Bolpur;India;West Bengal
Gumlā;India;Jharkhand
Simdega;India;Jharkhand
Kottagūdem;India;Telangana
Koch Bihār;India;West Bengal
Bodhan;India;Telangana
Karūr;India;Tamil Nādu
Mangalagiri;India;Andhra Pradesh
Bāpatla;India;Andhra Pradesh
Mārkāpur;India;Andhra Pradesh
Malaut;India;Punjab
Badvel;India;Andhra Pradesh
Jorhāt;India;Assam
Basavakalyān;India;Karnātaka
Beypore;India;Kerala
Bishnupur;India;West Bengal
Koratla;India;Telangana
Pulivendla;India;Andhra Pradesh
Alīpur Duār;India;West Bengal
Jaisalmer;India;Rājasthān
Tādepalle;India;Andhra Pradesh
Gadwāl;India;Telangana
Jatani;India;Odisha
Kodād;India;Telangana
Nawalgarh;India;Rājasthān
Armūr;India;Telangana
Jhārgrām;India;West Bengal
Wanparti;India;Telangana
Chāmrājnagar;India;Karnātaka
Ponnūru;India;Andhra Pradesh
Chandralapādu;India;Andhra Pradesh
Vinukonda;India;Andhra Pradesh
Tezpur;India;Assam
Narasapur;India;Andhra Pradesh
Pānskura;India;West Bengal
Rāmpur Hat;India;West Bengal
Lonāvale;India;Mahārāshtra
Sāmalkot;India;Andhra Pradesh
Kālna;India;West Bengal
Kothāpet;India;Telangana
Mācherla;India;Andhra Pradesh
Kandukūr;India;Andhra Pradesh
Sattenapalle;India;Andhra Pradesh
Bobbili;India;Andhra Pradesh
Vrindāvan;India;Uttar Pradesh
Gangārāmpur;India;West Bengal
Kāndi;India;West Bengal
Belampalli;India;Telangana
Pithorāgarh;India;Uttarakhand
Puttūr;India;Andhra Pradesh
Islāmpur;India;West Bengal
Punganūru;India;Andhra Pradesh
Nāndod;India;Gujarāt
Palmaner;India;Andhra Pradesh
Jalor;India;Rājasthān
Kāliyāganj;India;West Bengal
Vikārābād;India;Telangana
Badūria;India;West Bengal
Dholka;India;Gujarāt
Tuni;India;Andhra Pradesh
Jaggayyapeta;India;Andhra Pradesh
Venkatagiri;India;Andhra Pradesh
Sihor;India;Gujarāt
Jangaon;India;Telangana
Mandamāri;India;Telangana
Diu;India;Damān and Diu
Metpalli;India;Telangana
Repalle;India;Andhra Pradesh
Peddāpuram;India;Andhra Pradesh
Bhadrāchalam;India;Telangana
Ajodhya;India;Uttar Pradesh
Bhainsa;India;Telangana
Prattipādu;India;Andhra Pradesh
Jasdan;India;Gujarāt
Vuyyūru;India;Andhra Pradesh
Nandikotkūr;India;Andhra Pradesh
Dhupgāri;India;West Bengal
Jammalamadugu;India;Andhra Pradesh
Rāmeswaram;India;Tamil Nādu
Murshidābād;India;West Bengal
Sainthia;India;West Bengal
Charkhi Dādri;India;Haryāna
Nandigāma;India;Andhra Pradesh
Nidadavole;India;Andhra Pradesh
Addanki;India;Andhra Pradesh
Nilothi;India;Haryāna
Mahbūbābād;India;Telangana
Berubāri;India;West Bengal
Akbarpur;India;Uttar Pradesh
Kārsiyāng;India;West Bengal
Rājgīr;India;Bihār
Nalhāti;India;West Bengal
Memāri;India;West Bengal
Rajaori;India;Jammu and Kashmīr
Pīleru;India;Andhra Pradesh
Peddapalli;India;Telangana
Naini Tal;India;Uttarakhand
Kovvūr;India;Andhra Pradesh
Channarāyapatna;India;Karnātaka
Maihar;India;Madhya Pradesh
Junnar;India;Mahārāshtra
Kālimpong;India;West Bengal
Atmakūr;India;Andhra Pradesh
Solan;India;Himāchal Pradesh
Vetapālem;India;Andhra Pradesh
Tāki;India;West Bengal
Betamcherla;India;Andhra Pradesh
Penumūr;India;Andhra Pradesh
Dwārka;India;Gujarāt
Kadiyam;India;Andhra Pradesh
Dubrājpur;India;West Bengal
Pathanāmthitta;India;Kerala
Sitalkuchi;India;West Bengal
Dālkola;India;West Bengal
Ichchāpuram;India;Andhra Pradesh
Mahē;India;Kerala
Kanigiri;India;Andhra Pradesh
Dīnhāta;India;West Bengal
Huzūrnagar;India;Telangana
Kodaikānal;India;Tamil Nādu
Udhampur;India;Jammu and Kashmīr
Vempalle;India;Andhra Pradesh
Medchal;India;Telangana
Uravakonda;India;Andhra Pradesh
Guskhara;India;West Bengal
Yellandu;India;Telangana
Giddalūr;India;Andhra Pradesh
Balarāmpur;India;West Bengal
Angamāli;India;Kerala
Vemalwāda;India;Telangana
Narsīpatnam;India;Andhra Pradesh
Shrīrangapattana;India;Karnātaka
Shamsābād;India;Telangana
Almora;India;Uttarakhand
Kondapalle;India;Andhra Pradesh
Debagrām;India;West Bengal
Fatehpur Sīkri;India;Uttar Pradesh
Jamikunta;India;Telangana
Darsi;India;Andhra Pradesh
Umaria;India;Madhya Pradesh
Kovūr;India;Andhra Pradesh
Erraguntla;India;Andhra Pradesh
Nāspur;India;Telangana
Kalyandrug;India;Andhra Pradesh
Mangūr;India;Telangana
Tummapāla;India;Andhra Pradesh
Pedana;India;Andhra Pradesh
Pandua;India;West Bengal
Lālgola;India;West Bengal
Mussoorie;India;Uttarakhand
Mārgrām;India;West Bengal
Podili;India;Andhra Pradesh
Uran;India;Mahārāshtra
Maināguri;India;West Bengal
Egra;India;West Bengal
Leh;India;Jammu and Kashmīr
Chimākurti;India;Andhra Pradesh
Koratgi;India;Karnātaka
Garaimāri;India;West Bengal
Devarkonda;India;Telangana
Pattikonda;India;Andhra Pradesh
Ātmakūr;India;Andhra Pradesh
Sonāmukhi;India;West Bengal
Khunti;India;Jharkhand
Nakrekal;India;Telangana
Kodumur;India;Andhra Pradesh
Srungavarapukota;India;Andhra Pradesh
Kalwākurti;India;Telangana
Bānswāda;India;Telangana
Silvassa;India;Dādra and Nagar Haveli
Kotagiri;India;Tamil Nādu
Rāmanayyapeta;India;Andhra Pradesh
Tangutūru;India;Andhra Pradesh
Varandarapilli;India;Kerala
Pāyakarāopeta;India;Andhra Pradesh
Penukonda;India;Andhra Pradesh
Bandipura;India;Jammu and Kashmīr
Sūlūru;India;Andhra Pradesh
Panchānandapur;India;West Bengal
Pāmidi;India;Andhra Pradesh
Gilarchāt;India;West Bengal
Guruzāla;India;Andhra Pradesh
Narasannapeta;India;Andhra Pradesh
Chintalapūdi;India;Andhra Pradesh
Renigunta;India;Andhra Pradesh
Kottapeta;India;Andhra Pradesh
Raghunāthpur;India;West Bengal
Attili;India;Andhra Pradesh
Gajwel;India;Telangana
Singarāyakonda;India;Andhra Pradesh
Avanigadda;India;Andhra Pradesh
Khed Brahma;India;Gujarāt
Aklvidu;India;Andhra Pradesh
Mogalturru;India;Andhra Pradesh
Balarāmpur;India;West Bengal
Gorantla;India;Andhra Pradesh
Mummidivaram;India;Andhra Pradesh
Khajurāho;India;Madhya Pradesh
Ashwarāopeta;India;Telangana
Yādiki;India;Andhra Pradesh
Kosigi;India;Andhra Pradesh
Chandrakona;India;West Bengal
Gauripur;India;Assam
Koilkuntla;India;Andhra Pradesh
Bagulā;India;West Bengal
Kulgam;India;Jammu and Kashmīr
Velugodu;India;Andhra Pradesh
Asafābād;India;Telangana
Abu;India;Rājasthān
Singur;India;West Bengal
Curchorem;India;Goa
Pushkar;India;Rājasthān
Bukkarāyasamudram;India;Andhra Pradesh
Ganapavaram;India;Andhra Pradesh
Pāmarru;India;Andhra Pradesh
Chāgallu;India;Andhra Pradesh
Sarapāka;India;Telangana
Pākāla;India;Andhra Pradesh
Mārutūru;India;Andhra Pradesh
Husnābād;India;Telangana
Kuppam;India;Andhra Pradesh
Madakasīra;India;Andhra Pradesh
Mailavaram;India;Andhra Pradesh
Tufānganj;India;West Bengal
Nellimarla;India;Andhra Pradesh
Kosgi;India;Telangana
Kaikalūr;India;Andhra Pradesh
Tehata;India;West Bengal
Parkāl;India;Telangana
Chāgalamarri;India;Andhra Pradesh
Umrāpur;India;West Bengal
Krishnapur;India;West Bengal
Kattanam;India;Kerala
Nizāmpatam;India;Andhra Pradesh
Gannavaram;India;Andhra Pradesh
Ghatkesar;India;Telangana
Palāshi;India;West Bengal
Pālkonda;India;Andhra Pradesh
Andāl;India;West Bengal
Achampet;India;Andhra Pradesh
Banganapalle;India;Andhra Pradesh
Kāmalāpuram;India;Andhra Pradesh
Vinjamūr;India;Andhra Pradesh
Karlapālem;India;Andhra Pradesh
Nalua;India;West Bengal
Mundra;India;Gujarāt
Chandragiri;India;Andhra Pradesh
Mārahra;India;Uttar Pradesh
Sompeta;India;Andhra Pradesh
Belūr;India;Karnātaka
Kanniyākumāri;India;Tamil Nādu
Nambūru;India;Andhra Pradesh
Rāmjībanpur;India;West Bengal
Kākdwīp;India;West Bengal
Kanekallu;India;Andhra Pradesh
Jhalidā;India;West Bengal
Jaggampeta;India;Andhra Pradesh
Dharmsāla;India;Himāchal Pradesh
Somandepalle;India;Andhra Pradesh
Sirvār;India;Karnātaka
Chinna Ganjām;India;Andhra Pradesh
Srikhanda;India;West Bengal
Nārapala;India;Andhra Pradesh
Bādkulla;India;West Bengal
Chilkūru;India;Telangana
Chautāpal;India;Telangana
Rāmpur;India;West Bengal
Tiruvūr;India;Andhra Pradesh
Bhagabānpur;India;West Bengal
Jadcherla;India;Telangana
Mellacheruvu;India;Telangana
Tādikonda;India;Andhra Pradesh
Rājmahal;India;West Bengal
Debīpur;India;West Bengal
Kulu;India;Himāchal Pradesh
Vissannapeta;India;Andhra Pradesh
Kottá Kalidindi;India;Andhra Pradesh
Vāyalpād;India;Andhra Pradesh
Veldurti;India;Andhra Pradesh
Maripād;India;Telangana
Belākoba;India;West Bengal
Pānchgrām;India;West Bengal
Inkollu;India;Andhra Pradesh
Manthani;India;Telangana
Pernamitta;India;Andhra Pradesh
Gokavaram;India;Andhra Pradesh
Kembhāvi;India;Karnātaka
Phirangipuram;India;Andhra Pradesh
Kasimkota;India;Andhra Pradesh
Dighirpār;India;West Bengal
Dharmāpuri;India;Telangana
Challapalle;India;Andhra Pradesh
Kottapeta;India;Andhra Pradesh
Bahutāl;India;West Bengal
Penugonda;India;Andhra Pradesh
Mahālandi;India;West Bengal
Gonegandla;India;Andhra Pradesh
Gokarna;India;West Bengal
Rentachintala;India;Andhra Pradesh
Kāmavarapukota;India;Andhra Pradesh
Bārnia;India;West Bengal
Rāmāyampet;India;Telangana
Podalakūr;India;Andhra Pradesh
Chopadandi;India;Telangana
Khed;India;Mahārāshtra
Kompalle;India;Telangana
Khirpai;India;West Bengal
Kollūru;India;Andhra Pradesh
Mitrapur;India;West Bengal
Islāmpur;India;West Bengal
Bhagwāngola;India;West Bengal
Gālivedu;India;Andhra Pradesh
Rāikal;India;Telangana
Kota;India;Andhra Pradesh
Chennūr;India;Andhra Pradesh
Sultānābād;India;Telangana
Sānātikri;India;West Bengal
Tadikalapūdi;India;Andhra Pradesh
Pātapatnam;India;Andhra Pradesh
Bālkonda;India;Telangana
Porumāmilla;India;Andhra Pradesh
Kallūr;India;Telangana
Udayagiri;India;Andhra Pradesh
Kolakalūru;India;Andhra Pradesh
Vontimitta;India;Andhra Pradesh
Seven Pagodas;India;Tamil Nādu
Utnūr;India;Telangana
Undi;India;Andhra Pradesh
Hariharpāra;India;West Bengal
Vijayapuri North;India;Telangana
Antarvedi;India;Andhra Pradesh
Vīraghattam;India;Andhra Pradesh
Chilamattūru;India;Andhra Pradesh
Maddikera;India;Andhra Pradesh
Tondangi;India;Andhra Pradesh
Kambadūru;India;Andhra Pradesh
Kohīr;India;Telangana
Pyāpali;India;Andhra Pradesh
Haldībāri;India;West Bengal
Muttukūru;India;Andhra Pradesh
Cumbum;India;Andhra Pradesh
Relangi;India;Andhra Pradesh
Konārka;India;Odisha
Putaparti;India;Andhra Pradesh
Dattapulia;India;West Bengal
Bāra;India;West Bengal
Antarvedipālem;India;Andhra Pradesh
Chīpurupalle;India;Andhra Pradesh
Kankipādu;India;Andhra Pradesh
Sindhnūr;India;Karnātaka
Yellāreddi;India;Telangana
Hanamsāgar;India;Karnātaka
Cherrapunji;India;Meghālaya
Bikkavolu;India;Andhra Pradesh
Madanpur;India;West Bengal
Holalagondi;India;Andhra Pradesh
Odlābāri;India;West Bengal
Kottavalasa;India;Andhra Pradesh
Penuganchiprolu;India;Andhra Pradesh
Bhānukumāri;India;West Bengal
Kottacheruvu;India;Andhra Pradesh
Lingāl;India;Telangana
Korangal;India;Telangana
Dornakal;India;Telangana
Barjora;India;West Bengal
Ungutūru;India;Andhra Pradesh
Domkonda;India;Telangana
Kārempūdi;India;Andhra Pradesh
Amarāvati;India;Andhra Pradesh
Belpukur;India;West Bengal
Undrājavaram;India;Andhra Pradesh
Daulatnagar;India;West Bengal
Peddavadlapūdi;India;Andhra Pradesh
Yedapalli;India;Telangana
Tezu;India;Arunāchal Pradesh
Duvva;India;Andhra Pradesh
Bhīmadolu;India;Andhra Pradesh
Rājnagar;India;West Bengal
Dundigal;India;Telangana
Sābang;India;West Bengal
Kumirimora;India;West Bengal
Chityāl;India;Telangana
Kathevaram;India;Andhra Pradesh
Polavaram;India;Andhra Pradesh
Champādānga;India;West Bengal
Kalādgi;India;Karnātaka
Paruchūru;India;Andhra Pradesh
Ghorādal;India;West Bengal
Uppāda;India;Andhra Pradesh
Nallajerla;India;Andhra Pradesh
Amrābād;India;Telangana
Pondūru;India;Andhra Pradesh
Sabbavaram;India;Andhra Pradesh
Kollipara;India;Andhra Pradesh
Pātiram;India;West Bengal
Gopālnagar;India;West Bengal
Kankandighi;India;West Bengal
Cossimbāzār;India;West Bengal
Pānchgani;India;Mahārāshtra
Tirmaigiri;India;Telangana
Bichkunda;India;Telangana
Kalikiri;India;Andhra Pradesh
Peddakūrapādu;India;Andhra Pradesh
Turbihāl;India;Karnātaka
Panjīpāra;India;West Bengal
Jāmi;India;Andhra Pradesh
Duvvūru;India;Andhra Pradesh
Venkatagirikota;India;Andhra Pradesh
Kumarkhāli;India;West Bengal
Domahani;India;West Bengal
Gurgunta;India;Karnātaka
Lokāpur;India;Karnātaka
Kharar;India;West Bengal
Battulapalle;India;Andhra Pradesh
Parigi;India;Andhra Pradesh
Kotra;India;West Bengal
Mudhol;India;Telangana
Sirūr;India;Karnātaka
Kesabpur;India;West Bengal
Nagar;India;West Bengal
Motkūr;India;Telangana
Dāmarcherla;India;Telangana
